,address,data,fidelity,valid_portion,select
248,0+,1000,0.6538918666255151,1.0,False
249,0+,1001,0.678983328153133,1.0,False
250,0+,1010,0.675298755365621,1.0,False
251,0+,1011,0.6966581629070657,1.0,False
252,0+,1100,0.6832699432454629,1.0,False
253,0+,1101,0.6876064544332152,1.0,False
254,0+,1110,0.6725021410880494,1.0,False
317,0+,1101,0.7876105275618873,0.81169659192518,responsebranch
318,0+,1110,0.781902039852869,0.7924276483722635,responsebranch
308,0+,0100,0.756896643216652,0.7926513519928178,responsebranch
96,0+,0000,0.8251208716015278,0.6604274370739575,True
336,0+,0000,0.7222819360799915,0.8100934496907491,noresponesebranch
319,0+,1111,0.7831127796396739,0.8004788577779165,responsebranch
337,0+,0001,0.69796056198153,0.8066001584415784,noresponesebranch
111,0+,1111,0.8073136844550233,0.6687612206531086,True
338,0+,0010,0.7111691894633507,0.8003839192577444,noresponesebranch
339,0+,0011,0.7252154297927413,0.8185432144417029,noresponesebranch
340,0+,0100,0.6753368840822417,0.8071973852646283,noresponesebranch
341,0+,0101,0.6620903321414985,0.8126520934635119,noresponesebranch
342,0+,0110,0.6807968943986135,0.806126952086852,noresponesebranch
343,0+,0111,0.681388796234199,0.8273712232276695,noresponesebranch
344,0+,1000,0.6905223686259622,0.8135226460394541,noresponesebranch
345,0+,1001,0.7212851817231091,0.818694300949911,noresponesebranch
346,0+,1010,0.7185002815156065,0.8085111019441192,noresponesebranch
347,0+,1011,0.7388603513965876,0.8279362828331671,noresponesebranch
348,0+,1100,0.7236271057500344,0.8127999916882854,noresponesebranch
349,0+,1101,0.7295922946571413,0.8140488865336957,noresponesebranch
103,0+,0111,0.7716838165518337,0.6922946902230362,True
100,0+,0100,0.78494007474713,0.6587900585702656,True
101,0+,0101,0.7817118908670483,0.6526850393536656,True
102,0+,0110,0.7854516481805034,0.6598477074851722,True
97,0+,0001,0.8121940866521753,0.6490912964648553,True
104,0+,1000,0.7850096014568902,0.674037234915324,True
105,0+,1001,0.8151732084910775,0.6868747958342103,True
99,0+,0011,0.8345764769740449,0.6757444655493408,True
106,0+,1010,0.8129967916156045,0.6755564150326401,True
108,0+,1100,0.810243772144928,0.6815951035163919,True
109,0+,1101,0.8137195312347882,0.6812797562209035,True
110,0+,1110,0.8122896479972627,0.6462231999879149,True
107,0+,1011,0.8350157483854892,0.696845349077777,True
98,0+,0010,0.81324133521413,0.6676727810859695,True
335,1+,1111,0.7263793634606197,0.8349375013257605,noresponesebranch
334,1+,1110,0.6997285238172251,0.8083805360524489,noresponesebranch
333,1+,1101,0.7100572795022149,0.8177772648629194,noresponesebranch
332,1+,1100,0.7627500616480342,0.8164680104993268,noresponesebranch
237,1+,1101,0.6516040647203718,1.0,False
235,1+,1011,0.6741598106345312,1.0,False
331,1+,1011,0.7275290381956327,0.8333629751407259,noresponesebranch
239,1+,1111,0.6754692011189269,1.0,False
238,1+,1110,0.6410287709654833,1.0,False
236,1+,1100,0.702379885866713,1.0,False
330,1+,1010,0.7081856262329311,0.8184842055646302,noresponesebranch
321,1+,0001,0.7033048821173543,0.8082703950122915,noresponesebranch
328,1+,1000,0.6966438430259734,0.801770909424925,noresponesebranch
234,1+,1010,0.6484514219755766,1.0,False
303,1+,1111,0.7665073606602838,0.7874172623707584,responsebranch
302,1+,1110,0.7409766403799354,0.786527555755065,responsebranch
301,1+,1101,0.76152607104557,0.7732328000278954,responsebranch
300,1+,1100,0.8101644623476485,0.7877731843279691,responsebranch
299,1+,1011,0.7660350048506843,0.7814136785941515,responsebranch
298,1+,1010,0.7551005097120654,0.7770779529414858,responsebranch
297,1+,1001,0.731257125281937,0.7660856432077622,responsebranch
296,1+,1000,0.7533985052417946,0.7659189445525226,responsebranch
295,1+,0111,0.7280441838361592,0.7835438325330203,responsebranch
294,1+,0110,0.7212367056171135,0.7608786707030963,responsebranch
329,1+,1001,0.6837327115765657,0.8106179276622988,noresponesebranch
293,1+,0101,0.7394684153099244,0.7660391397536901,responsebranch
291,1+,0011,0.7443760849710398,0.7852601605401003,responsebranch
290,1+,0010,0.7498552068251966,0.7740838913695609,responsebranch
289,1+,0001,0.7479461381145441,0.767828647415435,responsebranch
288,1+,0000,0.7989611300871805,0.7658680603955538,responsebranch
320,1+,0000,0.7401425773356382,0.8129588064105198,noresponesebranch
322,1+,0010,0.6988929853553439,0.8047183461888918,noresponesebranch
323,1+,0011,0.7052417647873611,0.8154046005359689,noresponesebranch
324,1+,0100,0.7353955462410501,0.8224743729024492,noresponesebranch
325,1+,0101,0.7002731373730582,0.8181369085114609,noresponesebranch
326,1+,0110,0.6601987439536283,0.808820168122632,noresponesebranch
327,1+,0111,0.694809319856999,0.8180745086294482,noresponesebranch
292,1+,0100,0.7881698330446747,0.7691211565490689,responsebranch
233,1+,1001,0.6243360235088297,1.0,False
232,1+,1000,0.6396744226706549,1.0,False
80,1+,0000,0.8441539018112644,0.6416873216880197,True
81,1+,0001,0.7947114566718422,0.6438332704943919,True
93,1+,1101,0.804854177474983,0.6558888878041782,True
95,1+,1111,0.804417853174971,0.675692510084493,True
91,1+,1011,0.8043050062733842,0.6702256833570127,True
231,1+,0111,0.6413001190121506,1.0,False
90,1+,1010,0.7987641900943396,0.6594631114826552,True
89,1+,1001,0.7769824971558479,0.6437115375960176,True
88,1+,1000,0.7955686725283547,0.6361909080191983,True
87,1+,0111,0.7685827820119092,0.6593884880989099,True
86,1+,0110,0.7586235496021627,0.6365177992968354,True
92,1+,1100,0.8531686391753039,0.6652455675439912,True
84,1+,0100,0.834890761248124,0.6544258898137407,True
230,1+,0110,0.6100387551523558,1.0,False
85,1+,0101,0.7884047047522829,0.6508922390490315,True
229,1+,0101,0.6347291578487804,1.0,False
228,1+,0100,0.6726777356278683,1.0,False
227,1+,0011,0.6540197760483114,1.0,False
94,1+,1110,0.782830551599012,0.6590542372546806,True
225,1+,0001,0.64264591070098,1.0,False
224,1+,0000,0.68045445883366,1.0,False
83,1+,0011,0.7837685751534786,0.6582499340201754,True
82,1+,0010,0.7921775218651852,0.6447811346383129,True
226,1+,0010,0.6428864087308073,1.0,False
272,+0,0000,0.7203237430403223,1.0,False
273,+0,0001,0.6944316904076264,1.0,False
274,+0,0010,0.6274472139420799,1.0,False
275,+0,0011,0.6270214833086759,1.0,False
276,+0,0100,0.6797505904151502,1.0,False
277,+0,0101,0.6620476474845327,1.0,False
279,+0,0111,0.6323841007944455,1.0,False
280,+0,1000,0.6305948055921967,1.0,False
281,+0,1001,0.6311322948603466,1.0,False
282,+0,1010,0.6478829869554041,1.0,False
284,+0,1100,0.6244277004988938,1.0,False
285,+0,1101,0.604996690583423,1.0,False
286,+0,1110,0.6352824063161499,1.0,False
287,+0,1111,0.6605633391039724,1.0,False
278,+0,0110,0.612663349976347,1.0,False
283,+0,1011,0.6775350574131218,1.0,False
141,+0,1101,0.7450156446223443,0.6415074446033843,True
142,+0,1110,0.7467214877803218,0.6439097546578388,True
143,+0,1111,0.7674767999193955,0.6582725367048406,True
128,+0,0000,0.8239662406232274,0.6660230197228195,True
129,+0,0001,0.8008818325634075,0.6449734610973376,True
130,+0,0010,0.7555625174240121,0.665194211602873,True
132,+0,0100,0.7809992610768,0.6568546099491361,True
133,+0,0101,0.7720737405389065,0.6489307283024401,True
131,+0,0011,0.7526588276822098,0.6719311618513186,True
135,+0,0111,0.7599924806352104,0.6710561211000953,True
136,+0,1000,0.7613043162252643,0.667309467782072,True
137,+0,1001,0.7654770655651898,0.6558548608928645,True
138,+0,1010,0.7700726672857645,0.647581462125204,True
139,+0,1011,0.7885454113086056,0.6651924158969463,True
140,+0,1100,0.7548030991036683,0.6580288968327076,True
134,+0,0110,0.7394553698040691,0.6563666616285163,True
118,+1,0110,0.7759350398016908,0.6824589817487026,True
114,+1,0010,0.7760727414066865,0.6779559926993264,True
115,+1,0011,0.709550679007607,0.6727275154764768,True
116,+1,0100,0.7738580474946412,0.6898019874876185,True
117,+1,0101,0.7554434823883973,0.6827734078997841,True
119,+1,0111,0.7465851580845861,0.6825725545151331,True
127,+1,1111,0.7642443676343463,0.675821980324632,True
121,+1,1001,0.7759156916757942,0.6822869657409834,True
122,+1,1010,0.8109778930499448,0.6775351843364186,True
123,+1,1011,0.757457768137608,0.6691756701784977,True
124,+1,1100,0.7594631498014097,0.6891162032863015,True
125,+1,1101,0.7739568928320811,0.682785688797433,True
126,+1,1110,0.7794507992858933,0.6851372587856822,True
120,+1,1000,0.8046874275142446,0.6928629477412677,True
112,+1,0000,0.7791050705437568,0.689613909261401,True
113,+1,0001,0.7315409800902537,0.6906169311283205,True
262,+1,0110,0.6267959602536447,1.0,False
257,+1,0001,0.5948135509429772,1.0,False
258,+1,0010,0.6235697324590402,1.0,False
259,+1,0011,0.5637845553074203,1.0,False
260,+1,0100,0.6255492849247821,1.0,False
261,+1,0101,0.6081067748572618,1.0,False
263,+1,0111,0.589884786866434,1.0,False
264,+1,1000,0.6534058067148727,1.0,False
265,+1,1001,0.6263307529527787,1.0,False
266,+1,1010,0.6446274193479159,1.0,False
267,+1,1011,0.5963172786069616,1.0,False
268,+1,1100,0.6056036649525903,1.0,False
269,+1,1101,0.6223435623750511,1.0,False
256,+1,0000,0.6369993411264784,1.0,False
270,+1,1110,0.619689896455244,1.0,False
271,+1,1111,0.6049660952027124,1.0,False
211,++,0011,0.5963968456342457,1.0,False
212,++,0100,0.5906125758085222,1.0,False
213,++,0101,0.5871101164289911,1.0,False
214,++,0110,0.5898512924543323,1.0,False
215,++,0111,0.5463202764308028,1.0,False
216,++,1000,0.6044169764728576,1.0,False
217,++,1001,0.5833572553232031,1.0,False
218,++,1010,0.6130820248599025,1.0,False
210,++,0010,0.6107569952351417,1.0,False
219,++,1011,0.6336470355122069,1.0,False
220,++,1100,0.5853527046433971,1.0,False
221,++,1101,0.5983770024858405,1.0,False
222,++,1110,0.5976373730088458,1.0,False
223,++,1111,0.6165185031268631,1.0,False
209,++,0001,0.5752647116264382,1.0,False
